wood_type,mount_type,fixture_configuration,wind_speed_mph,pole_height_ft,epa,ero_vista_pole_size
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,26,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,28,0,"6-3/4"" x 6-3/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,8,56.95,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,8,52.31,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,8,44.58,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,8,38.43,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,8,33.48,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,8,29.43,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,10,56.95,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,10,52.31,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,10,44.58,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,10,38.43,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,10,33.48,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,10,29.43,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,12,56.09,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,12,51.02,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,12,42.58,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,12,35.75,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,12,30.13,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,12,25.53,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,14,45.38,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,14,40.92,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,14,33.52,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,14,27.63,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,14,22.89,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,14,19,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,16,35.93,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,16,32.15,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,16,25.84,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,16,20.83,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,16,16.79,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,16,13.49,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,18,28.31,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,18,25.03,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,18,19.58,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,18,15.26,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,18,11.76,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,18,8.91,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,20,21.87,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,20,19.02,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,20,14.26,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,20,10.49,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,20,7.45,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,20,4.95,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,22,16.16,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,22,13.66,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,22,9.5,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,22,6.2,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,22,3.54,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,22,1.36,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,24,11.48,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,24,9.26,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,24,5.56,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,24,2.62,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,24,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,24,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,26,7.08,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,26,5.1,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,26,1.82,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,26,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,26,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,26,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,28,3.33,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,28,1.56,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,28,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,28,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,28,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,28,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 115 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 120 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 130 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 140 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Eqaul to 150 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Pedestal/Base Plate,Two or More Side Mount Fixtures,Less Than or Equal to 160 Vmph,30,0,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,8,6.06,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,8,5.57,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,8,4.75,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,8,4.09,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,8,3.56,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,8,3.13,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,10,6.06,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,10,5.57,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,10,4.75,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,10,4.09,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,10,3.56,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,10,3.13,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,12,6.06,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,12,5.57,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,12,4.4,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,12,3.09,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,12,2.03,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,12,1.17,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,14,4.22,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,14,3.38,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,14,2,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,14,0.9,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,14,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,14,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,16,1.75,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,16,1.05,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,16,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,16,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,16,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,16,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,18,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,18,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,18,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,18,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,18,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,18,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,20,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,20,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,20,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,20,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,20,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,20,0,"5"" x 5-1/2"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,8,13.1,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,8,12.03,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,8,10.25,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,8,8.84,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,8,7.7,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,8,6.77,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,10,13.1,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,10,12.03,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,10,10.25,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,10,8.84,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,10,7.7,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,10,6.77,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,12,13.1,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,12,12.03,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,12,10.25,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,12,8.84,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,12,7.7,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,12,6.77,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,14,12.95,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,14,11.89,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,14,10.13,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,14,7.95,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,14,5.96,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,14,4.34,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,16,10.82,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,16,9.24,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,16,6.62,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,16,4.53,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,16,2.85,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,16,1.48,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,18,7.04,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,18,5.68,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,18,3.43,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,18,1.64,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,18,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,18,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,20,3.78,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,20,2.61,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,20,0.65,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,20,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,20,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,20,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,22,0.91,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,22,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,24,0,"6-3/4"" x 6-3/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,8,24.92,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,8,22.89,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,8,19.5,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,8,16.81,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,8,14.65,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,8,12.87,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,10,24.92,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,10,22.89,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,10,19.5,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,10,16.81,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,10,14.65,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,10,12.87,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,12,24.92,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,12,22.89,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,12,19.5,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,12,16.81,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,12,14.65,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,12,12.87,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,14,24.63,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,14,22.62,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,14,19.28,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,14,16.62,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,14,14.48,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 160 Vmph,14,12.72,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 115 Vmph,16,24.07,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 120 Vmph,16,22.11,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 130 Vmph,16,18.46,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Equal to 140 Vmph,16,14.47,"8-1/2"" x 8-1/4"""
AYC,Direct Embedment,Single Side Mount Fixture,Less Than or Eqaul to 150 Vmph,16,11.25,"8-1/2"" x 8-1/4"""
